time,latitude,longitude,rides
8/6/2025 0:00,23.019099999999998,72.5539,41
8/6/2025 0:00,23.0151,72.5601,47
8/6/2025 0:00,23.0229,72.57449999999999,37
8/6/2025 0:00,23.0212,72.5799,92
8/6/2025 0:00,23.0232,72.5937,89
8/6/2025 0:00,22.9883,72.5529,60
8/6/2025 0:00,22.993399999999998,72.5626,13
8/6/2025 0:00,22.9943,72.56559999999999,63
8/6/2025 0:00,22.992199999999997,72.5772,86
8/6/2025 0:00,22.985999999999997,72.5929,10
8/6/2025 0:00,22.979400000000002,72.5483,63
8/6/2025 0:00,22.981,72.558,70
8/6/2025 0:00,22.9814,72.56519999999999,23
8/6/2025 0:00,22.9784,72.577,97
8/6/2025 0:00,22.979400000000002,72.5942,91
8/6/2025 0:00,23.0122,72.5539,30
8/6/2025 0:00,23.0055,72.56020000000001,31
8/6/2025 0:00,23.010800000000003,72.5672,60
8/6/2025 0:00,23.0056,72.5762,60
8/6/2025 0:00,23.01,72.5945,43
8/6/2025 0:00,23.027800000000003,72.54809999999999,85
8/6/2025 0:00,23.0329,72.56230000000001,36
8/6/2025 0:00,23.026400000000002,72.5697,85
8/6/2025 0:00,23.0252,72.5818,18
8/6/2025 0:00,23.026200000000003,72.5892,11
8/6/2025 0:15,23.016,72.54509999999999,95
8/6/2025 0:15,23.0178,72.5578,28
8/6/2025 0:15,23.025,72.568,29
8/6/2025 0:15,23.0155,72.57939999999999,26
8/6/2025 0:15,23.0203,72.5939,94
8/6/2025 0:15,22.993499999999997,72.5462,4
8/6/2025 0:15,22.9863,72.56,63
8/6/2025 0:15,22.9885,72.5679,17
8/6/2025 0:15,22.987,72.5842,97
8/6/2025 0:15,22.9897,72.59020000000001,32
8/6/2025 0:15,22.976300000000002,72.5506,92
8/6/2025 0:15,22.9805,72.5613,49
8/6/2025 0:15,22.977800000000002,72.57149999999999,32
8/6/2025 0:15,22.976,72.57509999999999,13
8/6/2025 0:15,22.9798,72.58550000000001,30
8/6/2025 0:15,23.0069,72.55109999999999,29
8/6/2025 0:15,23.0071,72.5554,54
8/6/2025 0:15,23.012600000000003,72.56949999999999,33
8/6/2025 0:15,23.009900000000002,72.5769,4
8/6/2025 0:15,23.0072,72.5931,37
8/6/2025 0:15,23.0269,72.5456,3
8/6/2025 0:15,23.026600000000002,72.55630000000001,51
8/6/2025 0:15,23.0298,72.56779999999999,40
8/6/2025 0:15,23.0316,72.5766,58
8/6/2025 0:15,23.0284,72.5857,42
